% IntCal13 raw data downloaded from http://intcal.qub.ac.uk/intcal13/ 
% Downloaded in 2016. As of 2020, the url redirects to IntCal20 data.						
%...Col 1	2	3	4	5	6	7
% setno	division	calage	calspan	calsig	c14age	c14sig
1	6	417	1	0	317	18
1	6	416	1	0	297	20
1	6	416	1	0	332	18
1	6	415	1	0	299	18
1	6	415	1	0	311	18
1	6	414	1	0	303	20
1	6	414	1	0	319	18
1	6	413	1	0	285	18
1	6	413	1	0	270	17
1	6	412	1	0	300	20
1	6	412	1	0	303	18
1	6	411	1	0	280	18
1	6	411	1	0	326	21
1	6	410	1	0	294	18
1	6	410	1	0	340	18
1	6	409	1	0	282	17
1	6	409	1	0	318	17
1	6	408	1	0	308	18
1	6	408	1	0	326	18
1	6	407	1	0	314	17
1	6	406	1	0	325	18
1	6	405	1	0	306	18
1	6	404	1	0	322	20
1	6	403	1	0	291	18
1	6	402	1	0	294	18
1	6	401	1	0	297	22
1	6	400	1	0	317	18
1	6	400	1	0	330	18
1	6	400	1	0	287	22
1	6	399	1	0	310	21
1	6	398	1	0	281	21
1	6	397	1	0	327	18
1	6	396	1	0	311	18
1	6	395	1	0	309	17
1	6	394	1	0	310	20
1	6	393	1	0	337	20
1	6	392	1	0	313	18
1	6	391	1	0	320	18
1	6	390	1	0	354	20
1	6	389	1	0	323	20
1	6	388	1	0	330	18
1	6	387	1	0	335	18
1	6	386	1	0	331	21
1	6	385	1	0	318	20
1	6	384	1	0	329	18
1	6	384	1	0	287	18
1	6	383	1	0	313	18
1	6	383	1	0	370	20
1	6	382	1	0	336	20
1	6	381	1	0	325	18
1	6	380	1	0	317	20
1	6	379	1	0	325	20
1	6	378	1	0	317	18
1	6	377	1	0	303	20
1	6	376	1	0	333	18
1	6	375	1	0	333	18
1	6	374	1	0	349	18
1	6	373	1	0	336	20
1	6	372	1	0	320	18
1	6	371	1	0	341	18
1	6	370	1	0	331	18
1	6	369	1	0	361	18
1	6	368	1	0	333	18
1	6	367	1	0	324	17
1	6	366	1	0	349	18
1	6	365	1	0	325	20
1	6	364	1	0	334	18
1	6	363	1	0	342	18
1	6	362	1	0	343	18
1	6	361	1	0	321	18
1	6	360	1	0	314	18
1	6	359	1	0	319	18
1	6	358	1	0	351	21
1	6	357	1	0	343	17
1	6	356	1	0	326	18
1	6	355	1	0	327	18
1	6	354	1	0	347	18
1	6	353	1	0	355	20
1	6	352	1	0	338	18
1	6	351	1	0	349	18
1	6	350	1	0	344	18
1	6	350	1	0	324	18
1	6	349	1	0	365	21
1	6	349	1	0	340	18
1	6	348	1	0	354	20
1	6	347	1	0	372	20
1	6	346	1	0	365	20
1	6	346	1	0	420	18
1	6	345	1	0	356	21
1	6	345	1	0	401	21
1	6	344	1	0	374	21
1	6	344	1	0	355	20
1	6	344	1	0	391	22
1	6	343	1	0	372	21
1	6	342	1	0	332	20
1	6	342	1	0	390	22
1	6	341	1	0	356	17
1	6	340	1	0	352	20
1	6	339	1	0	379	20
1	6	339	1	0	383	20
1	6	338	1	0	340	20
1	6	337	1	0	369	18
1	6	336	1	0	337	20
1	6	335	1	0	332	18
1	6	335	1	0	393	20
1	6	334	1	0	368	18
1	6	333	1	0	357	20
1	6	332	1	0	335	18
1	6	331	1	0	324	18
1	6	330	1	0	305	18
1	6	330	1	0	352	21
1	6	329	1	0	338	18
1	6	328	1	0	342	20
1	6	328	1	0	337	18
1	6	327	1	0	302	21
1	6	326	1	0	349	14
1	6	325	1	0	320	20
1	6	325	1	0	323	14
1	6	324	1	0	366	20
1	6	323	1	0	317	20
1	6	322	1	0	350	20
1	6	321	1	0	349	17
1	6	321	1	0	280	20
1	6	320	1	0	343	20
1	6	319	1	0	337	20
1	6	318	1	0	338	20
1	6	317	1	0	310	20
1	6	316	1	0	334	20
1	6	315	1	0	317	17
1	6	315	1	0	268	20
1	6	314	1	0	308	17
1	6	314	1	0	273	20
1	6	313	1	0	299	22
1	6	312	1	0	324	18
1	6	311	1	0	311	13
1	6	311	1	0	267	20
1	6	310	1	0	311	17
1	6	310	1	0	338	22
1	6	309	1	0	283	22
1	6	308	1	0	287	18
1	6	307	1	0	268	20
1	6	306	1	0	289	13
1	6	306	1	0	265	17
1	6	305	1	0	279	18
1	6	304	1	0	274	18
1	6	303	1	0	263	21
1	6	302	1	0	267	18
1	6	301	1	0	276	18
1	6	301	1	0	242	20
1	6	300	1	0	248	18
1	6	300	1	0	243	20
1	6	299	1	0	251	20
1	6	297	1	0	256	20
1	6	296	1	0	247	18
1	6	296	1	0	210	20
1	6	295	1	0	236	17
1	6	294	1	0	249	17
1	6	293	1	0	249	16
1	6	292	1	0	209	20
1	6	291	1	0	233	21
1	6	290	1	0	249	18
1	6	290	1	0	252	20
1	6	289	1	0	209	20
1	6	288	1	0	220	20
1	6	287	1	0	209	20
1	6	286	1	0	218	18
1	6	286	1	0	236	14
1	6	285	1	0	223	14
1	6	284	1	0	209	18
1	6	283	1	0	194	20
1	6	282	1	0	179	21
1	6	281	1	0	183	20
1	6	280	1	0	194	18
1	6	279	1	0	166	18
1	6	279	1	0	131	21
1	6	278	1	0	183	18
1	6	277	1	0	136	18
1	6	277	1	0	158	18
1	6	276	1	0	222	21
1	6	276	1	0	169	20
1	6	275	1	0	172	18
1	6	274	1	0	189	18
1	6	274	1	0	162	18
1	6	273	1	0	173	17
1	6	273	1	0	200	18
1	6	272	1	0	197	18
1	6	270	1	0	159	17
1	6	269	1	0	166	18
1	6	268	1	0	163	20
1	6	267	1	0	167	18
1	6	266	1	0	153	18
1	6	265	1	0	150	25
1	6	264	1	0	113	18
1	6	264	1	0	118	25
1	6	263	1	0	155	21
1	6	263	1	0	136	23
1	6	262	1	0	110	18
1	6	261	1	0	119	20
1	6	260	1	0	158	21
1	6	259	1	0	132	21
1	6	258	1	0	131	18
1	6	257	1	0	130	18
1	6	256	1	0	141	16
1	6	256	1	0	103	20
1	6	255	1	0	132	13
1	6	255	1	0	148	18
1	6	254	1	0	135	18
1	6	253	1	0	101	20
1	6	252	1	0	132	20
1	6	251	1	0	130	20
1	6	250	1	0	110	20
1	7	445.5	10	0	340	18
1	7	435.5	10	0	345	18
1	7	425.5	10	0	312	21
1	7	415.5	10	0	276	20
1	7	405.5	10	0	312	20
1	7	395.5	10	0	322	18
1	7	385.5	10	0	331	20
1	7	375.5	10	0	327	18
1	7	365.5	10	0	317	17
1	7	355.5	10	0	360	18
1	7	345.5	10	0	332	20
1	7	335.5	10	0	356	18
1	7	325.5	10	0	338	20
1	7	315.5	10	0	279	20
1	7	305.5	10	0	259	18
1	7	295.5	10	0	237	18
1	7	285.5	10	0	216	18
1	7	285.5	10	0	196	18
1	7	275.5	10	0	156	17
1	7	265.5	10	0	164	20
1	7	255.5	10	0	116	18
1	7	245.5	10	0	108	14
1	7	235.5	10	0	103	21
1	7	235.5	10	0	91	18
1	7	225.5	10	0	130	20
1	7	215.5	10	0	155	18
1	7	205.5	10	0	183	20
1	7	195.5	10	0	191	20
1	7	195.5	10	0	214	20
1	7	185.5	10	0	177	18
1	7	175.5	10	0	195	20
1	7	165.5	10	0	207	18
1	7	155.5	10	0	225	20
1	7	145.5	10	0	135	20
1	7	135.5	10	0	113	18
1	7	45.5	10	0	32	18
1	7	35.5	10	0	89	18
1	7	25.5	10	0	89	18
1	7	15.5	10	0	100	18
1	8	1715.5	10	0	1807	22
1	8	1705.5	10	0	1772	22
1	8	1705.5	10	0	1767	20
1	8	1695.5	10	0	1741	20
1	8	1695.5	10	0	1795	21
1	8	1685.5	10	0	1698	21
1	8	1675.5	10	0	1713	20
1	8	1665.5	10	0	1762	21
1	8	1655.5	10	0	1726	20
1	8	1645.5	10	0	1773	21
1	8	1635.5	10	0	1775	21
1	8	1625.5	10	0	1723	22
1	8	1615.5	10	0	1729	21
1	8	1605.5	10	0	1698	20
1	8	1595.5	10	0	1699	21
1	8	1585.5	10	0	1675	20
1	8	1575.5	10	0	1702	14
1	8	1575.5	10	0	1726	21
1	8	1565.5	10	0	1681	14
1	8	1555.5	10	0	1666	17
1	8	1545.5	10	0	1666	20
1	8	1535.5	10	0	1639	21
1	8	1525.5	10	0	1618	17
1	8	1515.5	10	0	1560	21
1	8	1505.5	10	0	1556	21
1	8	1495.5	10	0	1579	21
1	8	1485.5	10	0	1578	21
1	8	1475.5	10	0	1560	20
1	8	1465.5	10	0	1561	22
1	8	1455.5	10	0	1561	17
1	8	1445.5	10	0	1580	20
1	8	1435.5	10	0	1573	18
1	8	1425.5	10	0	1577	21
1	8	1425.5	10	0	1600	17
1	8	1415.5	10	0	1559	21
1	8	1405.5	10	0	1480	20
1	8	1405.5	10	0	1517	21
1	8	1395.5	10	0	1509	22
1	8	1385.5	10	0	1491	21
1	8	1375.5	10	0	1497	22
1	8	1365.5	10	0	1475	21
1	8	1355.5	10	0	1489	22
1	8	1345.5	10	0	1452	20
1	8	1335.5	10	0	1442	42
1	8	1325.5	10	0	1444	21
1	8	1315.5	10	0	1467	21
1	8	1315.5	10	0	1453	22
1	8	1305.5	10	0	1397	22
1	8	1295.5	10	0	1371	21
1	8	1285.5	10	0	1342	22
1	8	1275.5	10	0	1324	22
1	8	1265.5	10	0	1331	23
1	8	1255.5	10	0	1262	21
1	8	1245.5	10	0	1296	21
1	8	1235.5	10	0	1275	18
1	8	1225.5	10	0	1245	20
1	8	1215.5	10	0	1229	17
1	8	1205.5	10	0	1245	21
1	8	1195.5	10	0	1317	20
1	8	1195.5	10	0	1311	21
1	8	1185.5	10	0	1284	20
1	8	1175.5	10	0	1245	21
1	8	1165.5	10	0	1170	17
1	8	1155.5	10	0	1221	21
1	8	1155.5	10	0	1255	20
1	8	1155.5	10	0	1221	21
1	8	1145.5	10	0	1198	21
1	8	1135.5	10	0	1186	20
1	8	1125.5	10	0	1206	20
1	8	1115.5	10	0	1184	20
1	8	1105.5	10	0	1211	21
1	8	1095.5	10	0	1184	20
1	8	1095.5	10	0	1237	22
1	8	1085.5	10	0	1188	21
1	8	1075.5	10	0	1175	20
1	8	1065.5	10	0	1175	22
1	8	1055.5	10	0	1137	21
1	8	1045.5	10	0	1103	21
1	8	1035.5	10	0	1106	20
1	8	1025.5	10	0	1148	20
1	8	1015.5	10	0	1154	21
1	8	904.5	10	0	931	20
1	8	894.5	10	0	918	16
1	8	914.5	10	0	942	18
1	8	884.5	10	0	928	14
1	8	874.5	10	0	878	18
1	8	874.5	10	0	928	16
1	8	864.5	10	0	920	18
1	8	854.5	10	0	942	20
1	8	844.5	10	0	943	18
1	8	834.5	10	0	952	20
1	8	814.5	10	0	896	20
1	9	2093.5	10	0	2080	17
1	9	2083.5	10	0	2083	22
1	9	2073.5	10	0	2097	22
1	9	2063.5	10	0	2073	22
1	9	2053.5	10	0	2066	21
1	9	2043.5	10	0	2096	20
1	9	2033.5	10	0	2043	21
1	9	2033.5	10	0	2054	21
1	9	2023.5	10	0	2085	22
1	9	2013.5	10	0	2084	21
1	9	2013.5	10	0	2086	22
1	9	2003.5	10	0	2029	20
1	9	2003.5	10	0	2087	21
1	9	1993.5	10	0	2067	22
1	9	1993.5	10	0	2049	17
1	9	1983.5	10	0	1974	21
1	9	1983.5	10	0	2033	14
1	9	1973.5	10	0	2021	21
1	9	1963.5	10	0	1981	21
1	9	1963.5	10	0	2009	16
1	9	1953.5	10	0	2034	21
1	9	1953.5	10	0	2059	22
1	9	1945.5	10	0	1970	16
1	9	1945.5	10	0	2005	21
1	9	1935.5	10	0	2005	14
1	9	1925.5	10	0	1987	20
