%Data filename = 
%Multiplication factor for 99.99% Chi2 CL = 4.64272
%Multiplication factor for  99.9% Chi2 CL = 3.74296
%Multiplication factor for   99% Chi2 CL = 2.80198
%Multiplication factor for   95% Chi2 CL = 2.09860
%Multiplication factor for   90% Chi2 CL = 1.77411
%     Frequency       Real_Power   SWA_background        90%Chi2CL        95%Chi2CL        99%Chi2CL      99.9%Chi2CL     99.99%Chi2CL
      1.1406197     4467.8871529     3098.5503170     5497.1591233     6502.6111076     8682.0831592    11597.7418821    14385.7124945
      1.1462944     3447.7364242     3062.1658385     5432.6091734     6426.2547185     8580.1344944    11461.5563287    14216.7894199
      1.1519691     1197.7021732     3024.9933293     5366.6611728     6348.2445696     8475.9777814    11322.4212097    14044.2077363
      1.1576439     1660.2671615     2987.0053309     5299.2664073     6268.5230369     8369.5360820    11180.2337493    13867.8399618
      1.1633186     1254.2996573     2948.1878053     5230.3999720     6187.0606602     8260.7700622    11034.9414041    13687.6209221
      1.1689933     1292.7377768     2908.5403248     5160.0611081     6103.8565420     8149.6785235    10886.5425732    13503.5486312
      1.1746680     1045.9398286     2868.0760384     5088.2731432     6018.9382765     8036.2983088    10735.0864721    13315.6841360
      1.1803428     2345.1621226     2826.8214099     5015.0830272     5932.3614009     7920.7035699    10580.6721547    13124.1503014
      1.1860175     2400.8499025     2784.8157313     4940.5604680     5844.2083731     7803.0044017    10423.4466886    12929.1295485
      1.1916922     3570.9246462     2742.1104181     4864.7966823     5754.5870936     7683.3448698    10263.6025198    12730.8605856
      1.1973669     6530.8337198     2698.7681043     4787.9027896     5663.6290060     7561.9004735    10101.3740851    12529.6342051
      1.2030417     4907.0301937     2654.8615576     4710.0078873     5571.4868204     7438.8751064     9937.0337504    12325.7882470
      1.2087164     2816.2711452     2610.4724418     4631.2568561     5478.3319164     7314.4975895     9770.8871805    12119.7018544
      1.2143911     3846.7305513     2565.6899587     4551.8079492     5384.3514925     7189.0178642     9603.2682532    11911.7891658
      1.2200658     4492.9145313     2520.6094020     4471.8302281     5289.7455322     7062.7029422     9434.5336495    11702.4926043
      1.2257406     6666.2933658     2475.3306619     4391.5009083     5194.7236645     6935.8327136     9265.0572535    11492.2759318
      1.2314153     5155.1553933     2429.9567140     4311.0026797     5099.5019938     6808.6957144     9095.2244987    11281.6172356
      1.2370900     5107.8967240     2384.5921305     4230.5210646     5004.2999753     6681.5849542     8925.4267946    11071.0020160
      1.2427647     3849.9067498     2339.3416456     4150.2418726     4909.3374040     6554.7938963     8756.0561567    10860.9165248
      1.2484395     7915.8002954     2294.3088053     4070.3488053     4814.8315811     6428.6126747     8587.5001533    10651.8414971
      1.2541142     9688.3012738     2249.5947273     3991.0212563     4720.9947120     6303.3246192     8420.1372633    10444.2463944
      1.2597889     8025.6005744     2205.2969918     3912.4323435     4628.0315785     6179.2031483     8254.3327260    10238.5842552
      1.2654636     4519.7750037     2161.5086793     3834.7472014     4536.1375189     6056.5090714     8090.4349368    10035.2872258
      1.2711383     2264.1184310     2118.3175639     3758.1215508     4445.4967360     5935.4883304     7928.7724313     9834.7628177
      1.2768131     2581.3395783     2075.8054692     3682.7005553     4356.2809443     5816.3701931     7769.6514711     9637.3909147
      1.2824878     2190.0770552     2034.0477840     3608.6179629     4268.6483550     5699.3658982     7613.3542338     9443.5215268
      1.2881625     1569.2595263     1993.1131354     3535.9955253     4182.7429885     5584.6677371     7460.1375873     9253.4732702
      1.2938372     4038.5847933     1953.0632084     3464.9426784     4098.6942969     5472.4485505     7310.2324163     9067.5325316
      1.2995120     4567.5782385     1913.9527019     3395.5564636     4016.6170710     5362.8616032     7163.8434558     8885.9532622
      1.3051867     4035.3797604     1875.8294047     3327.9216637     3936.6116006     5256.0407991     7021.1495780     8708.9573330
      1.3108614     1967.2768628     1838.7343777     3262.1111249     3858.7640559     5152.1011900     6882.3044718     8536.7353781
      1.3165361     3033.3813012     1802.7022229     3198.1862346     3783.1470523     5051.1397295     6747.4376505     8369.4480444
      1.3222109     3279.0764360     1767.7614226     3136.1975239     3709.8203631     4953.2362255     6616.6557231     8207.2275685
      1.3278856     4041.5450052     1733.9347330     3076.1853646     3638.8317442     4858.4544398     6490.0438644     8050.1796005
      1.3335603     1488.3257791     1701.2396134     3018.1807313     3570.2178358     4766.8432932     6367.6674242     7898.3851992
      1.3392350     1017.2988587     1669.6886782     2962.2060032     3504.0051102     4678.4381310     6249.5736173     7751.9029295
      1.3449098      512.2253558     1639.2901569     2908.2757806     3440.2108382     4593.2620125     6135.7932468     7610.7709994
